Country,Test,Case,Death,Population,Median_age,GDP
United States,102973333,6804814,199509,331002647,38.3,54225
India,61437455,5487580,87882,1380004385,28.2,6427
Russia,41752779,1103399,19418,145934460,39.6,24766
Peru,629790,768895,31369,32971846,29.1,12237
Colombia,3087140,765076,24208,50882884,32.2,13255
Mexico,1485940,697663,73493,128932753,29.3,17336
South Africa,4030338,661211,15953,59308690,27.3,12295
Spain,413760,640040,30495,46754783,45.5,34272
Argentina,1469532,622921,12909,45195777,31.9,18934
France,9111707,453763,31285,65273512,42,38606
Chile,3030310,446274,12286,19116209,35.4,22767
Iran,2510568,422140,24301,83992953,32.4,19083
United Kingdom,17502164,394257,41777,67886004,40.8,39753
Bangladesh,1783662,348916,4939,164689383,27.5,3524
Saudi Arabia,6049949,329754,4485,34813867,31.9,49045
Iraq,1457736,319035,8555,40222503,20,15664
Pakistan,3134407,306304,6420,220892331,23.5,5035
Turkey,7614298,302867,7506,84339067,31.6,25129
Italy,5367451,298156,35707,60461828,47.9,35220
Philippines,3153255,286743,4984,109581085,25.2,7599
Indonesia,1340584,244676,9553,273523621,29.3,11189
Israel,2975678,188427,1256,8655541,30.6,33132
Ukraine,1773614,175678,3557,43733759,41.4,7894
Canada,6098919,143649,9217,37742157,41.4,44018
Kazakhstan,2682318,138455,2015,18776707,30.6,24056
Bolivia,273224,130676,7617,11673029,25.4,6886
Ecuador,318838,126419,11090,17643060,28.1,10582
Qatar,715963,123376,210,2881060,31.9,116936
Romania,2018714,112781,4435,19237682,43,23313
Dominican Republic,386799,108289,2047,10847904,27.6,14601
Panama,407948,106203,2257,4314768,29.7,22267
Belgium,2883921,102201,9948,11589616,41.8,42659
Morocco,2267106,101743,1830,36910558,29.6,7485
Kuwait,468556,99434,584,4270563,33.7,65531
Oman,200640,93475,846,5106622,30.7,37961
Sweden,872928,88237,5865,10099270,41,46949
United Arab Emirates,8762818,84916,404,9890400,34,67293
Poland,2686039,79240,2293,37846605,41.8,27216
Japan,395037,78657,1500,126476458,48.2,39002
Belarus,474181,75674,780,9449321,40.3,17168
Ethiopia,828870,68820,1096,114963583,19.8,1730
Portugal,2345680,68025,1899,10196707,46.2,27937
Bahrain,1017489,64499,221,1701583,32.4,43291
Nepal,882812,64122,411,29136808,25,2443
Costa Rica,170995,63712,706,5094114,33.6,15525
Nigeria,312972,57242,1098,206139587,18.1,5338
Czech Republic,1187768,49240,503,10708982,43.3,32606
Switzerland,1251614,49171,1764,8654618,43.1,57410
Ghana,347886,46004,297,31072945,21.1,4228
Austria,1374296,38557,766,9006400,44.4,45437
Kenya,409473,36981,648,53771300,20,2993
Paraguay,239172,33520,659,7132530,26.5,8827
Ireland,1038516,32933,1792,4937796,38.7,67335
Serbia,1069593,32908,741,6804596,41.2,14049
Libya,197575,27949,438,6871287,29,17882
El Salvador,358733,27553,812,6486201,27.6,7292
Australia,5815132,26898,849,25499881,37.9,44649
South Korea,1953266,23045,385,51269183,43.4,35938
Denmark,3188246,21847,635,5792203,42.3,46683
Cote d'Ivoire,143514,19320,120,26378275,18.7,3601
Hungary,625583,18866,686,9660350,43.4,26778
Bulgaria,376921,18863,761,6948445,44.7,18563
Greece,885992,15142,338,10423056,45.3,24574
Croatia,253371,14922,248,4105268,44,22670
Senegal,174644,14714,302,16743930,18.7,2471
Zambia,111785,14131,330,18383956,17.7,3689
Norway,919134,12645,267,5421242,39.7,64800
Tunisia,189103,10732,159,11818618,32.7,10849
Democratic Republic of Congo,54184,10514,270,89561404,17,808
Malaysia,1303900,10219,130,32365998,29.9,26808
Maldives,123990,9724,33,540542,30.6,15184
Finland,891180,8980,339,5540718,42.8,40586
Luxembourg,416460,7804,124,625976,39.7,94278
Zimbabwe,103260,7683,225,14862927,19.6,1900
Mozambique,124552,6771,43,31255435,17.7,1136
Slovakia,381440,6677,39,5459643,41.2,30155
Uganda,179790,6287,63,45741000,16.4,1698
Myanmar,189713,5805,94,54409794,29.1,5592
Malawi,42826,5731,179,19129955,18.1,1095
Rwanda,464517,4711,26,12952209,20.3,1854
Slovenia,196465,4420,133,2078932,44.5,31401
Lithuania,544216,3744,87,2722291,43.5,29524
Thailand,372486,3506,59,69799978,40.1,16278
Sri Lanka,268371,3287,13,21413250,34.1,11669
Estonia,189206,2924,64,1326539,42.7,29481
Malta,207168,2634,17,441539,42.4,36513
Iceland,105424,2346,10,341250,37.3,46483
Uruguay,155424,1917,46,3473727,35.6,20551
Togo,82628,1666,41,8278737,19.4,1430
Latvia,296395,1525,36,1886202,43.9,25064
New Zealand,914109,1464,25,4822233,37.9,36086
Vietnam,62378,1068,35,97338583,32.6,6172
Fiji,8755,32,2,896444,28.6,8703
